fy,State_Name,Leg_Prof,Term_Limits,Party_Gov,Party_Senate,Party_House,Party_Years_Control,Party_Longevity,Population,Density_Public_Sector_Union,Density_Public_Collect_Barg,Union_Density,Density_Collect_Barg,Right_to_Work,Collective_Barg_Required,Gov_Liberalism,Revenue_Change,Per_Capita_GDP,Protection_Constitution,Protection_Contract_Statute,Protection_ContractJudicial,Protection_Property_Statute,Protection_COLA,Protection_PBI
2009,North Carolina,0.198,0,1,1,1,,0,9380884,0.08,,0.03,,1,0,75.49,-0.1105,43273,0,1,1,0,3,3
2010,North Carolina,0.198,0,1,1,1,,0,9558979,0.11,,0.03,,1,0,75.49,0.0193,43281,0,1,1,0,3,3
2011,North Carolina,0.198,0,1,0,0,,0,9651025,0.09,,0.03,,1,0,47.13,-0.0002,43302,0,1,1,0,3,3
2012,North Carolina,0.198,0,0,0,0,,0,9747021,0.09,,0.03,,1,0,47.13,-0.0167,42746,0,1,1,0,3,3
2013,North Carolina,0.198,0,0,0,0,,0,9845432,0.09,,0.03,,1,0,6.65,0.0209,42852,0,1,1,0,3,3
2014,North Carolina,0.198,0,0,0,0,31,0,9940387,0.11,,0.02,,1,0,6.65,-0.0406,43332,0,1,1,0,3,3
2015,North Carolina,0.198,0,1,0,0,,,10042802,0.11,,0.03,,1,0,,,44054,0,1,1,0,3,3
2001,North Dakota,0.058,0,0,0,0,,1,636267,0.15,,0.07,,1,1,21.65,-0.0303,36030,0,2,1 or 2,0,2,3
2002,North Dakota,0.058,0,0,0,0,,1,633617,0.13,,0.08,,1,1,21.65,-0.0542,38040,0,2,1 or 2,0,2,3
2003,North Dakota,0.051,0,0,0,0,,1,632809,0.18,,0.07,,1,1,28.83,0.0300,40429,0,2,1 or 2,0,2,3
2004,North Dakota,0.051,0,0,0,0,,1,636303,0.16,,0.08,,1,1,28.83,0.0067,40368,0,2,1 or 2,0,2,3
2005,North Dakota,0.051,0,0,0,0,,1,635365,0.17,,0.07,,1,1,28.83,0.1022,41453,0,2,1 or 2,0,2,3
2006,North Dakota,0.051,0,0,0,0,,1,636771,0.17,,0.07,,1,1,28.83,0.1134,42913,0,2,1 or 2,0,2,3
2007,North Dakota,0.051,0,0,0,0,,1,638202,0.17,,0.06,,1,1,33.06,0.0636,44087,0,2,1 or 2,0,2,3
2008,North Dakota,0.051,0,0,0,0,,1,641421,0.16,,0.06,,1,1,33.06,0.2406,48062,0,2,1 or 2,0,2,3
2009,North Dakota,0.051,0,0,0,0,,1,646844,0.15,,0.07,,1,1,24.34,0.0361,48670,0,2,1 or 2,0,2,3
2010,North Dakota,0.051,0,0,0,0,,1,674530,0.17,,0.07,,1,1,24.34,0.0629,51943,0,2,1 or 2,0,2,3
2011,North Dakota,0.051,0,0,0,0,,1,685326,0.21,,0.06,,1,1,26.56,0.0675,57012,0,2,1 or 2,0,2,3
2012,North Dakota,0.051,0,0,0,0,,1,702265,0.20,,0.06,,1,1,26.56,0.3396,67753,0,2,1 or 2,0,2,3
2013,North Dakota,0.051,0,0,0,0,,1,723626,0.22,,0.06,,1,1,26.91,0.2213,67041,0,2,1 or 2,0,2,3
2014,North Dakota,0.051,0,0,0,0,0,1,740040,0.20,,0.05,,1,1,26.91,0.1126,69550,0,2,1 or 2,0,2,3
2015,North Dakota,0.051,0,1,0,0,,,756927,0.18,,0.05,,1,1,,,66507,0,2,1 or 2,0,2,3
2001,Ohio,0.315,1,0,0,0,,1,11396874,0.38,,0.18,,0,1,23.75,-0.0330,41723,0,1,0,1 or 2,2,3
2002,Ohio,0.315,1,0,0,0,,1,11420981,0.48,,0.17,,0,1,24.00,0.0081,42613,0,1,0,1 or 2,2,3
2003,Ohio,0.304,1,0,0,0,,1,11445180,0.46,,0.17,,0,1,23.79,0.0011,43223,0,1,0,1 or 2,2,3
2004,Ohio,0.304,1,0,0,0,,1,11464593,0.40,,0.15,,0,1,23.79,0.0581,44413,0,1,0,1 or 2,2,3
2005,Ohio,0.304,1,0,0,0,,1,11475262,0.43,,0.16,,0,1,23.17,0.0324,44772,0,1,0,1 or 2,2,3
2006,Ohio,0.304,1,0,0,0,,1,11492495,0.43,,0.14,,0,1,22.90,0.0232,44738,0,1,0,1 or 2,2,3
2007,Ohio,0.304,1,1,0,0,,1,11520815,0.44,,0.14,,0,1,57.56,-0.0181,44584,0,1,0,1 or 2,2,3
2008,Ohio,0.304,1,1,0,0,,1,11528072,0.41,,0.14,,0,1,57.56,-0.0234,43646,0,1,0,1 or 2,2,3
2009,Ohio,0.304,1,1,0,1,,1,11542645,0.42,,0.14,,0,1,63.11,-0.0807,41453,0,1,0,1 or 2,2,3
2010,Ohio,0.304,1,1,0,1,,1,11540766,0.44,,0.14,,0,1,63.11,-0.0311,42299,0,1,0,1 or 2,2,3
2011,Ohio,0.304,1,0,0,0,,1,11545442,0.46,,0.13,,0,1,14.02,0.0280,43610,0,1,0,1 or 2,2,3
2012,Ohio,0.304,1,0,0,0,,1,11551783,0.46,,0.13,,0,1,14.02,0.0145,44394,0,1,1,1 or 2,2,3
2013,Ohio,0.304,1,0,0,0,,1,11572232,0.50,,0.13,,0,1,11.86,0.0443,44736,0,1,1,1 or 2,2,3
2014,Ohio,0.304,1,0,0,0,6,1,11596998,0.49,,0.12,,0,1,11.86,-0.0356,46137,0,1,1,1 or 2,2,3
2015,Ohio,0.304,1,1,0,0,,,11613423,0.50,,0.12,,0,1,,,46867,0,1,1,1 or 2,2,3
2001,Oklahoma,0.188,1,0,1,1,,0,3464729,0.15,,0.08,,1,1,37.71,0.0515,35201,0,1,1 or 2,0,2,3
2002,Oklahoma,0.188,1,0,1,1,,0,3484754,0.21,,0.09,,1,1,37.41,-0.0666,35305,0,1,1 or 2,0,2,3
2003,Oklahoma,0.187,1,1,1,1,,0,3498687,0.21,,0.07,,1,1,65.33,-0.0499,35822,0,1,1 or 2,0,2,3
2004,Oklahoma,0.187,1,1,1,1,,0,3514449,0.19,,0.06,,1,1,65.83,0.0534,36689,0,1,1 or 2,0,2,3
2005,Oklahoma,0.187,1,1,1,0,,0,3532769,0.17,,0.05,,1,1,51.39,0.0255,37610,0,1,1 or 2,0,2,3
2006,Oklahoma,0.187,1,1,1,0,,0,3574334,0.13,,0.06,,1,1,51.39,0.0896,39155,0,1,1 or 2,0,2,3
2007,Oklahoma,0.187,1,1,1,0,,0,3612186,0.18,,0.07,,1,1,47.81,0.0016,39289,0,1,1 or 2,0,2,3
2008,Oklahoma,0.187,1,1,1,0,,0,3644025,0.18,,0.07,,1,1,47.81,-0.0231,39671,0,1,1 or 2,0,2,3
2009,Oklahoma,0.187,1,1,0,1,,0,3687050,0.21,,0.06,,1,1,42.26,-0.0263,38568,0,1,1 or 2,0,2,3
2010,Oklahoma,0.187,1,1,0,0,,0,3759596,0.19,,0.06,,1,1,42.26,-0.1591,38658,0,1,1 or 2,0,2,3
2011,Oklahoma,0.187,1,0,0,0,,0,3786626,0.16,,0.06,,1,1,11.09,0.0569,40303,0,1,1 or 2,0,2,3
2012,Oklahoma,0.187,1,0,0,0,,0,3817679,0.17,,0.08,,1,1,11.09,0.1025,41769,0,1,1 or 2,0,2,3
2013,Oklahoma,0.187,1,0,0,0,,0,3853405,0.21,,0.08,,1,1,8.75,-0.0159,42475,0,1, 1 or 2,0,2,3
2014,Oklahoma,0.187,1,0,0,0,21,0,3879610,0.25,,0.06,,1,1,8.75,0.0008,43588,0,1,1 or 2,0,2,3
2015,Oklahoma,0.187,1,1,0,0,,,3911338,0.20,,0.06,,1,1,,,43788,0,1,1 or 2,0,2,3
2001,Oregon,0.153,1,1,0,0,,1,3470382,0.51,,0.16,,0,1,65.30,-0.0473,37387,0,2,2,0,2,3
2002,Oregon,0.153,1,1,0,0,,1,3517111,0.54,,0.16,,0,1,65.30,-0.1488,37916,0,2,2,0,2,3
2003,Oregon,0.159,0,1,1,0,,1,3550180,0.51,,0.16,,0,1,65.77,0.0697,38985,0,2,2,0,2,3
2004,Oregon,0.159,0,1,1,0,,1,3573505,0.50,,0.15,,0,1,65.77,0.0358,42244,0,2,2,0,2,3
2005,Oregon,0.159,0,1,1,0,,1,3617869,0.59,,0.15,,0,1,74.62,0.0213,42562,0,2,2,0,2,3
2006,Oregon,0.159,0,1,1,0,,1,3677545,0.52,,0.14,,0,1,74.62,0.1091,45594,0,2,2,0,2,3
2007,Oregon,0.159,0,1,1,1,,1,3732957,0.58,,0.14,,0,1,81.14,-0.0216,46385,0,2,2,0,2,3
2008,Oregon,0.159,0,1,1,1,,1,3782991,0.60,,0.17,,0,1,81.14,-0.0795,48323,0,2,2,0,2,3
2009,Oregon,0.159,0,1,1,1,,1,3825657,0.52,,0.17,,0,1,84.90,-0.0566,47582,0,2,2,0,2,3
2010,Oregon,0.159,0,1,1,1,,1,3837972,0.49,,0.16,,0,1,84.90,0.0258,49686,0,2,2,0,2,3
2011,Oregon,0.159,0,1,1,1,,1,3868509,0.49,,0.17,,0,1,72.35,0.0316,51362,0,2,2,0,2,3
2012,Oregon,0.159,0,1,1,1,,1,3899444,0.53,,0.16,,0,1,72.35,0.0577,49403,0,2,2,0,2,3
2013,Oregon,0.159,0,1,1,1,,1,3928030,0.55,,0.14,,0,1,78.46,0.0269,48323,0,2,2,0,2,3
2014,Oregon,0.159,0,1,1,1,34,1,3971202,0.52,,0.16,,0,1,78.46,0.0291,48264,0,2,2,0,2,3
2015,Oregon,0.159,0,1,1,1,,,4028977,0.50,,0.15,,0,1,,,49482,0,2,1,0,0,3
2001,Pennsylvania,0.283,0,0,0,0,,0,12299533,0.50,,0.17,,0,1,29.06,-0.0247,42794,0,2,2,0,3,3
2002,Pennsylvania,0.283,0,0,0,0,,0,12326302,0.53,,0.16,,0,1,29.06,-0.0373,43153,0,2,2,0,3,3
2003,Pennsylvania,0.339,0,1,0,0,,0,12357524,0.51,,0.15,,0,1,58.64,0.0210,43853,0,2,2,0,3,3
2004,Pennsylvania,0.339,0,1,0,0,,0,12388368,0.55,,0.15,,0,1,58.13,0.0613,44536,0,2,2,0,3,3
2005,Pennsylvania,0.339,0,1,0,0,,0,12418161,0.52,,0.14,,0,1,57.05,0.0371,45001,0,2,2,0,3,3
2006,Pennsylvania,0.339,0,1,0,0,,0,12471142,0.50,,0.14,,0,1,57.05,0.0268,45444,0,2,2,0,3,3
2007,Pennsylvania,0.339,0,1,0,1,,0,12522531,0.53,,0.15,,0,1,60.96,0.0281,45834,0,2,2,0,3,3
2008,Pennsylvania,0.339,0,1,0,1,,0,12566368,0.53,,0.15,,0,1,60.96,0.0000,45819,0,2,2,0,3,3
2009,Pennsylvania,0.339,0,1,0,1,,0,12604767,0.52,,0.15,,0,1,61.69,-0.0648,44823,0,2,2,0,3,3
2010,Pennsylvania,0.339,0,1,0,1,,0,12712014,0.51,,0.15,,0,1,60.77,-0.0165,45731,0,2,2,0,3,3
2011,Pennsylvania,0.339,0,0,0,0,,0,12745202,0.49,,0.15,,0,1,25.28,0.0369,46239,0,2,2,0,3,3
2012,Pennsylvania,0.339,0,0,0,0,,0,12772789,0.49,,0.13,,0,1,25.28,-0.0046,46648,0,2,2,0,3,3
2013,Pennsylvania,0.339,0,0,0,0,,0,12783536,0.53,,0.13,,0,1,27.78,0.0153,47159,0,2,2,0,3,3
2014,Pennsylvania,0.339,0,0,0,0,12,0,12793767,0.55,,0.13,,0,1,27.46,-0.0099,48203,0,2,2,0,3,3
2015,Pennsylvania,0.339,0,1,0,0,,,12802503,0.57,,0.13,,0,1,,,48944,0,2,2,0,3,3
2001,Rhode Island,0.113,0,0,1,1,,1,1058051,0.62,,0.17,,0,1,73.04,0.0661,41818,0,2,2,0,2,3
2002,Rhode Island,0.113,0,0,1,1,,1,1066034,0.67,,0.17,,0,1,73.04,-0.0757,42917,0,2,2,0,2,3
2003,Rhode Island,0.133,0,0,1,1,,1,1071504,0.66,,0.17,,0,1,73.04,0.0323,44491,0,2,2,0,2,3
2004,Rhode Island,0.133,0,0,1,1,,1,1071414,0.61,,0.16,,0,1,73.04,0.0362,46084,0,2,2,0,2,3
2005,Rhode Island,0.133,0,0,1,1,,1,1064989,0.63,,0.16,,0,1,73.04,0.0622,46744,0,2,2,0,2,3
2006,Rhode Island,0.133,0,0,1,1,,1,1060196,0.64,,0.15,,0,1,73.04,0.0145,47904,0,2,2,0,2,3
2007,Rhode Island,0.133,0,0,1,1,,1,1055009,0.68,,0.15,,0,1,71.63,-0.0134,47045,0,2,2,0,2,3
2008,Rhode Island,0.133,0,0,1,1,,1,1053502,0.62,,0.17,,0,1,71.63,-0.0358,45853,0,2,2,0,2,3
2009,Rhode Island,0.133,0,0,1,1,,1,1053209,0.64,,0.18,,0,1,72.26,-0.0591,45366,0,2,2,0,2,3
2010,Rhode Island,0.133,0,0,1,1,,1,1053219,0.66,,0.16,,0,1,72.26,-0.0224,46324,0,2,2,0,2,3
2011,Rhode Island,0.133,0,1,1,1,,1,1051856,0.64,,0.17,,0,1,78.75,0.0250,46244,0,2,2,0,2,3
2012,Rhode Island,0.133,0,1,1,1,,1,1052393,0.61,,0.18,,0,1,78.75,0.0347,46681,0,2,2,0,2,3
2013,Rhode Island,0.133,0,1,1,1,,1,1052856,0.65,,0.17,,0,1,78.23,0.0099,46909,0,2,2,0,2,3
2014,Rhode Island,0.133,0,1,1,1,32,1,1054907,0.65,,0.15,,0,1,86.81,-0.0092,47852,0,2,2,0,2,3
2015,Rhode Island,0.133,0,1,1,1,,,1056298,0.65,,0.14,,0,1,,,48329,0,2,2,0,1,3
2001,South Carolina,0.135,0,1,0,0,,1,4062701,0.07,,0.05,,1,0,53.68,-0.0327,36309,0,1,0,0,2,3
2002,South Carolina,0.135,0,1,0,0,,1,4103934,0.03,,0.05,,1,0,52.59,-0.0757,36670,0,1,0,0,2,3
2003,South Carolina,0.124,0,0,0,0,,1,4146474,0.10,,0.04,,1,0,14.99,0.0103,37550,0,1,0,0,2,3
2004,South Carolina,0.124,0,0,0,0,,1,4201306,0.12,,0.03,,1,0,13.75,0.0277,37262,0,1,0,0,2,3
2005,South Carolina,0.124,0,0,0,0,,1,4256199,0.12,,0.02,,1,0,11.24,0.0260,37712,0,1,0,0,2,3
2006,South Carolina,0.124,0,0,0,0,,1,4339399,0.13,,0.03,,1,0,11.00,0.0061,37761,0,1,1,0,2,3
2007,South Carolina,0.124,0,0,0,0,,1,4424232,0.12,,0.04,,1,0,11.84,0.0679,37920,0,1,1,0,2,3
2008,South Carolina,0.124,0,0,0,0,,1,4503280,0.11,,0.04,,1,0,10.22,-0.0819,36929,0,1,1,0,2,3
2009,South Carolina,0.124,0,0,0,0,,1,4561242,0.11,,0.05,,1,0,11.42,-0.1037,35087,0,1,1,0,2,3
2010,South Carolina,0.124,0,0,0,0,,1,4635894,0.08,,0.05,,1,0,11.42,-0.0764,35366,0,1,1,0,2,3
2011,South Carolina,0.124,0,0,0,0,,1,4672733,0.07,,0.03,,1,0,2.58,0.0233,35812,0,1,1,0,2,3
2012,South Carolina,0.124,0,0,0,0,,1,4721341,0.05,,0.03,,1,0,2.58,0.0140,35512,0,1,1,0,2,3
2013,South Carolina,0.124,0,0,0,0,,1,4768498,0.11,,0.04,,1,0,0.00,0.0700,35519,0,1,1,0,2,3
2014,South Carolina,0.124,0,0,0,0,2,1,4829160,0.10,,0.02,,1,0,0.00,-0.0185,35962,0,1,1,0,2,3
2015,South Carolina,0.124,0,0,0,0,,,4896146,0.11,,0.02,,1,0,,,36174,0,1,1,0,2,3
2001,South Dakota,0.065,1,0,0,0,,1,758983,0.23,,0.06,,1,1,21.83,0.0217,36912,0,1,1,0,2,3
2002,South Dakota,0.065,1,0,0,0,,1,762107,0.16,,0.06,,1,1,21.83,-0.0193,40794,0,1,1,0,2,3
2003,South Dakota,0.064,1,0,0,0,,1,766975,0.15,,0.05,,1,1,32.50,0.0096,41738,0,1,1,0,2,3
2004,South Dakota,0.064,1,0,0,0,,1,774283,0.17,,0.06,,1,1,32.50,0.0127,42738,0,1,1,0,2,3
2005,South Dakota,0.064,1,0,0,0,,1,780084,0.16,,0.06,,1,1,21.83,0.0037,42960,0,1,1,0,2,3
2006,South Dakota,0.064,1,0,0,0,,1,788519,0.18,,0.06,,1,1,21.83,0.0273,42708,0,1,1,0,2,3
2007,South Dakota,0.064,1,0,0,0,,1,797035,0.18,,0.07,,1,1,23.36,0.0242,43740,0,1,1,0,2,3
2008,South Dakota,0.064,1,0,0,0,,1,804532,0.17,,0.05,,1,1,23.36,-0.0035,45208,0,1,1,0,2,3
2009,South Dakota,0.064,1,0,0,0,,1,812383,0.22,,0.06,,1,1,21.83,0.0088,45230,0,1,1,0,2,3
2010,South Dakota,0.064,1,0,0,0,,1,816299,0.21,,0.06,,1,1,21.83,-0.0422,45443,0,1,1,0,2,3
2011,South Dakota,0.064,1,0,0,0,,1,824289,0.20,,0.05,,1,1,22.85,0.0028,48195,0,1,1,0,2,3
2012,South Dakota,0.064,1,0,0,0,,1,834631,0.19,,0.06,,1,1,22.85,0.0667,47171,0,1,1,0,1,3
2013,South Dakota,0.064,1,0,0,0,,1,845270,0.16,,0.05,,1,1,22.85,-0.0196,47172,0,1,1,0,1,3
2014,South Dakota,0.064,1,0,0,0,0,1,853304,0.16,,0.05,,1,1,22.85,0.0228,46917,0,1,1,0,1,3
2015,South Dakota,0.064,1,0,0,0,,,858469,0.16,,0.06,,1,1,,,47460,0,1,1,0,1,3
2001,Tennessee,0.215,0,0,1,1,,0,21332847,0.17,,0.06,,1,0,40.99,0.0244,45462,0,2,1 or 2,0,2,3
2002,Tennessee,0.215,0,0,1,1,,0,21710788,0.17,,0.05,,1,0,39.79,-0.0576,45381,0,2,1 or 2,0,2,3
2003,Tennessee,0.199,0,1,1,1,,0,22057801,0.17,,0.06,,1,0,68.96,-0.0223,44959,0,2,1 or 2,0,2,3
2004,Tennessee,0.199,0,1,1,1,,0,22418319,0.19,,0.05,,1,0,68.96,0.0123,46396,0,2,1 or 2,0,2,3
2005,Tennessee,0.199,0,1,0,1,,0,22801920,0.17,,0.05,,1,0,61.69,0.0138,46451,0,2,1 or 2,0,2,3
2006,Tennessee,0.199,0,1,0,1,,0,23369024,0.17,,0.05,,1,0,60.72,0.0538,47876,0,2,1 or 2,0,2,3
2007,Tennessee,0.199,0,1,0,1,,0,23837701,0.16,,0.05,,1,0,61.81,0.0503,49068,0,2,1 or 2,0,2,3
2008,Tennessee,0.199,0,1,1,1,,0,24304290,0.15,,0.05,,1,0,64.35,0.0672,48322,0,2,1 or 2,0,2,3
2009,Tennessee,0.199,0,1,0,0,,0,24782302,0.15,,0.05,,1,0,52.21,-0.0978,47233,0,2,1 or 2,0,2,3
2010,Tennessee,0.199,0,1,0,0,,0,25244363,0.16,,0.05,,1,0,51.57,-0.0859,47746,0,2,1 or 2,0,2,3
2011,Tennessee,0.199,0,0,0,0,,0,25654464,0.17,,0.05,,1,0,11.13,0.0415,48595,0,2,1 or 2,0,2,3
2012,Tennessee,0.199,0,0,0,0,,0,26089741,0.17,,0.06,,1,0,10.69,0.0711,50356,0,2,1 or 2,0,2,3
2013,Tennessee,0.199,0,0,0,0,,0,26500674,0.18,,0.05,,1,0,10.69,0.0475,51695,0,2,1 or 2,0,2,3
2014,Tennessee,0.199,0,0,0,0,21,0,26979078,0.15,,0.05,,1,0,10.69,0.0321,52742,0,2,1 or 2,0,2,3
2015,Tennessee,0.199,0,0,0,0,,,27469114,0.17,,0.05,,1,0,,,53707,0,2,1 or 2,0,1,3
2001,Texas,0.117,0,0,0,1,,1,5755443,0.19,,0.08,,1,1,63.93,0.0018,39175,1,0,0-1,0,1,3
2002,Texas,0.117,0,0,0,1,,1,5803306,0.18,,0.09,,1,1,60.91,-0.0533,40084,1,0,0-1,0,1,3
2003,Texas,0.116,0,0,0,0,,1,5856522,0.22,,0.08,,1,1,11.18,0.0955,40915,1,0,0-1,0,1,3
2004,Texas,0.116,0,0,0,0,,1,5916762,0.15,,0.07,,1,1,11.18,0.0418,42223,1,0,0-1,0,1,3
2005,Texas,0.116,0,0,0,0,,1,5995748,0.15,,0.05,,1,1,10.36,0.0022,42087,1,0,0-1,0,1,3
2006,Texas,0.116,0,0,0,0,,1,6089453,0.18,,0.06,,1,1,10.07,0.0149,42247,1,0,0-1,0,1,3
2007,Texas,0.116,0,0,0,0,,1,6172862,0.17,,0.05,,1,1,13.01,0.0245,41241,1,0,0-1,0,1,3
2008,Texas,0.116,0,0,0,0,,1,6240456,0.16,,0.06,,1,1,13.99,-0.0349,41201,1,0,0-1,0,1,3
2009,Texas,0.116,0,0,0,0,,1,6296254,0.17,,0.05,,1,1,15.66,-0.1012,39220,1,0,0-1,0,1,3
2010,Texas,0.116,0,0,0,0,,1,6356585,0.22,,0.05,,1,1,15.17,-0.0166,39664,1,0,0-1,0,1,3
2011,Texas,0.116,0,0,0,0,,1,6398408,0.17,,0.05,,1,1,8.66,0.0441,40465,1,0,0-1,0,1,3
2012,Texas,0.116,0,0,0,0,,1,6455469,0.17,,0.05,,1,1,8.66,-0.0307,41469,1,0,0-1,0,1,3
2013,Texas,0.116,0,0,0,0,,1,6496130,0.19,,0.06,,1,1,6.97,0.0093,41642,1,0,0-1,0,1,3
2014,Texas,0.116,0,0,0,0,2,1,6547779,0.23,,0.05,,1,1,6.97,-0.0173,41955,1,0,0-1,0,1,3
2015,Texas,0.116,0,0,0,0,,,6600299,0.18,,0.05,,1,1,,,42457,1,0,0-1,0,1,3
2001,Utah,0.067,1,0,0,0,,1,2291250,0.13,,0.07,,1,0,17.49,-0.0221,39255,0,1,1,0,2,3
2002,Utah,0.067,1,0,0,0,,1,2334473,0.12,,0.06,,1,0,17.49,-0.0682,39134,0,1,1,0,2,3
2003,Utah,0.065,1,0,0,0,,1,2379938,0.12,,0.05,,1,0,16.05,-0.0293,39383,0,1,1,0,2,3
2004,Utah,0.065,0,0,0,0,,1,2438915,0.16,,0.06,,1,0,16.05,0.0152,40506,0,1,1,0,2,3
2005,Utah,0.065,0,0,0,0,,1,2499637,0.18,,0.05,,1,0,16.05,0.0595,41880,0,1,1,0,2,3
2006,Utah,0.065,0,0,0,0,,1,2583724,0.18,,0.05,,1,0,16.05,0.0942,44039,0,1,1,0,2,3
2007,Utah,0.065,0,0,0,0,,1,2663796,0.18,,0.06,,1,0,16.05,0.0518,45332,0,1,1,0,2,3
2008,Utah,0.065,0,0,0,0,,1,2727343,0.16,,0.06,,1,0,16.05,-0.0547,43576,0,1,1,0,2,3
2009,Utah,0.065,0,0,0,0,,1,2784572,0.18,,0.07,,1,0,13.79,-0.1292,42052,0,1,1,0,2,3
2010,Utah,0.065,0,0,0,0,,1,2775426,0.18,,0.07,,1,0,13.79,-0.0674,41993,0,1,1,0,2,3
2011,Utah,0.065,0,0,0,0,,1,2816440,0.16,,0.06,,1,0,4.52,0.0063,42521,0,1,1,0,2,3
2012,Utah,0.065,0,0,0,0,,1,2856343,0.20,,0.05,,1,0,4.52,0.0170,42282,0,1,1,0,2,3
2013,Utah,0.065,0,0,0,0,,1,2903685,0.20,,0.04,,1,0,6.32,0.0562,42796,0,1,1,0,2,3
2014,Utah,0.065,0,0,0,0,0,1,2944498,0.21,,0.04,,1,0,6.32,-0.0319,43154,0,1,1,0,2,3
2015,Utah,0.065,0,0,0,0,,,2995919,0.22,,0.04,,1,0,,,43798,0,1,1,0,2,3
2001,Vermont,0.117,0,1,1,0,,1,612153,0.51,,0.11,,0,1,80.41,0.0132,37249,0,2,2,0,1,3
2002,Vermont,0.117,0,1,1,0,,1,614950,0.46,,0.10,,0,1,79.95,-0.0425,38218,0,2,2,0,1,3
2003,Vermont,0.144,0,0,1,1,,1,616559,0.41,,0.10,,0,1,67.41,0.0001,39662,0,2,2,0,1,3
2004,Vermont,0.144,0,0,1,1,,1,618145,0.43,,0.10,,0,1,67.41,0.0999,40954,0,2,2,0,1,3
2005,Vermont,0.144,0,0,1,1,,1,618814,0.49,,0.11,,0,1,72.26,0.2254,41504,0,2,2,0,1,3
2006,Vermont,0.144,0,0,1,1,,1,619985,0.46,,0.11,,0,1,72.26,0.0362,41646,0,2,2,0,1,3
2007,Vermont,0.144,0,0,1,1,,1,620460,0.45,,0.10,,0,1,73.51,0.0350,41330,0,2,2,0,1,3
2008,Vermont,0.144,0,0,1,1,,1,621049,0.40,,0.10,,0,1,73.51,-0.0446,41498,0,2,2,0,1,3
2009,Vermont,0.144,0,0,1,1,,1,621760,0.43,,0.12,,0,1,73.65,-0.0129,40367,0,2,2,0,1,3
2010,Vermont,0.144,0,0,1,1,,1,625984,0.41,,0.12,,0,1,73.65,-0.0156,41819,0,2,2,0,1,3
2011,Vermont,0.144,0,1,1,1,,1,626687,0.39,,0.12,,0,1,90.08,0.0365,42962,0,2,2,0,1,3
2012,Vermont,0.144,0,1,1,1,,1,626398,0.42,,0.11,,0,1,90.08,-0.0044,42978,0,2,2,0,1,3
2013,Vermont,0.144,0,1,1,1,,1,627129,0.34,,0.11,,0,1,90.08,0.0276,42771,0,2,2,0,1,3
2014,Vermont,0.144,0,1,1,1,32,1,626767,0.33,,0.11,,0,1,90.08,0.0233,43435,0,2,2,0,1,3
2015,Vermont,0.144,0,1,1,1,,,626042,0.40,,0.13,,0,1,,,43553,0,2,2,0,1,3
2001,Virginia,0.15,0,0,0,0,,0,7191304,0.14,,0.05,,1,0,23.16,-0.0074,48211,0,1,1,0,1,3
2002,Virginia,0.15,0,1,0,0,,0,7283541,0.13,,0.06,,1,0,55.37,-0.0503,47854,0,1,1,0,1,3
2003,Virginia,0.131,0,1,0,0,,0,7373694,0.12,,0.07,,1,0,53.07,-0.0183,49095,0,1,1,0,1,3
2004,Virginia,0.131,0,1,0,0,,0,7468914,0.10,,0.05,,1,0,51.49,0.0530,50258,0,1,1,0,1,3
2005,Virginia,0.131,0,1,0,0,,0,7563887,0.14,,0.05,,1,0,51.73,0.0673,52227,0,1,1,0,1,3
2006,Virginia,0.131,0,1,0,0,,0,7646996,0.11,,0.04,,1,0,53.95,0.0384,52765,0,1,1,0,1,3
2007,Virginia,0.131,0,1,0,0,,0,7719749,0.12,,0.04,,1,0,52.27,0.0397,52561,0,1,1,0,1,3
2008,Virginia,0.131,0,1,0,0,,0,7795424,0.09,,0.04,,1,0,63.59,-0.0640,52068,0,1,1,0,1,3
2009,Virginia,0.131,0,1,1,0,,0,7882590,0.09,,0.05,,1,0,59.63,-0.1012,51707,0,1,1,0,1,3
2010,Virginia,0.131,0,0,1,0,,0,8025787,0.08,,0.05,,1,0,57.60,-0.0400,52279,0,1,1,0,1,3
2011,Virginia,0.131,0,0,1,0,,0,8110783,0.10,,0.05,,1,0,24.61,0.0181,52093,0,1,1,0,1,3
2012,Virginia,0.131,0,0,1,0,,0,8193374,0.13,,0.04,,1,0,19.48,0.0100,51942,0,1,1,0,1,3
2013,Virginia,0.131,0,0,0,0,,0,8267875,0.16,,0.05,,1,0,19.55,0.0327,51347,0,1,1,0,1,3
2014,Virginia,0.131,0,1,0,0,13,0,8328098,0.16,,0.05,,1,0,51.35,-0.0347,51101,0,1,1,0,1,3
2015,Virginia,0.131,0,1,0,0,,,8382993,0.12,,0.05,,1,0,,,51480,0,1,1,0,1,3
2001,Washington,0.198,0,1,1,1,,1,5987785,0.46,,0.19,,0,1,73.20,-0.0317,48704,0,2,2,0,2,3
2002,Washington,0.198,0,1,1,1,,1,6056187,0.49,,0.19,,0,1,73.20,-0.0305,49058,0,2,2,0,2,3
2003,Washington,0.197,0,1,0,1,,1,6113262,0.57,,0.20,,0,1,69.95,-0.0047,49457,0,2,2,0,2,3
2004,Washington,0.197,0,1,0,1,,1,6184289,0.51,,0.19,,0,1,69.95,0.0313,49648,0,2,2,0,2,3
